feature,importance
ert,0.0011359118667599655
emi,0.0010713595876401228
ale,0.0010626358960600223
ake,0.001057001697538183
ano,0.0010157825559934355
ans,0.0009303193234605275
eag,0.0008780320966858092
les,0.0008412553596430439
adv,0.0007973457910061781
"('official', 'twitter')",0.000794143938401771
pla,0.0007893052080722737
log,0.0007871456609808092
don,0.0007726036683405568
uni,0.000682571051201521
offi,0.0006815252128428045
cial,0.0006132001209281057
ica,0.0005287458487205134
oth,0.00045859897293188393
que,0.00041384162435630827
