,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
1829,12,3,0,0,14.6,4,575,3,0,0,0,0,1,2,0,0,1,2
3940,18,6,0,0,14.55,6,471,37,0,0,0,1,1,2,0,0,0,2
2452,14,4,0,0,14.525000000000002,9,464,39,0,0,0,1,0,2,0,0,0,2
8123,18,6,2,0,14.325000000000001,6,549,0,0,0,0,0,0,2,0,0,0,3
5741,12,3,0,0,14.325000000000001,7,543,10,0,0,0,1,0,0,0,0,0,3
4875,7,1,9,1,14.325,7,441,0,0,1,0,0,0,4,0,1,0,3
5133,9,2,2,1,14.299999999999999,0,461,21,0,0,0,1,0,1,0,1,0,3
854,9,2,0,0,14.225000000000001,5,548,7,0,0,0,0,1,0,0,0,1,2
1701,12,3,0,0,14.075000000000001,5,437,42,0,0,0,1,1,1,0,0,0,2
7312,16,5,1,0,14.075000000000001,3,533,6,0,0,0,1,2,1,0,0,1,3
3414,16,5,0,0,13.95,8,303,85,0,0,0,1,0,3,0,0,0,2
5463,9,2,3,1,13.95,0,495,1,0,0,0,0,0,3,0,1,0,3
5638,9,2,0,1,13.825000000000001,0,463,22,0,0,0,1,0,4,0,1,0,3
3728,18,6,2,0,13.799999999999999,9,510,6,0,0,0,0,0,1,0,0,0,2
2995,16,5,0,0,13.750000000000002,2,538,4,0,0,0,0,1,0,0,0,1,2
1240,9,2,4,2,13.700000000000001,1,452,0,3,0,0,1,1,3,0,1,0,2
3322,16,5,0,0,13.675,7,523,8,0,0,0,1,0,3,0,0,0,2
2921,16,5,0,0,13.675,6,541,2,0,0,0,0,0,0,0,0,0,2
5260,9,2,2,0,13.674999999999999,0,460,21,0,0,0,0,0,2,0,0,0,3
5390,10,2,0,1,13.674999999999999,0,460,21,0,0,0,1,0,2,0,1,0,3
5294,9,2,0,1,13.674999999999999,0,460,21,0,0,0,0,0,2,0,1,0,3
7711,16,5,2,0,13.65,10,483,13,0,0,0,1,1,4,0,0,0,3
4265,18,6,1,0,13.500000000000002,3,522,2,0,0,0,0,0,4,0,0,0,2
2700,14,4,0,0,13.5,10,450,30,0,0,0,1,0,3,0,0,0,2
4960,7,1,1,0,13.475000000000001,3,518,3,0,0,0,0,1,4,0,0,1,3
5160,9,2,0,0,13.450000000000001,3,481,19,0,0,0,0,0,1,0,0,0,3
1754,12,3,0,0,13.425,9,354,61,2,0,0,1,0,2,0,0,0,2
5992,12,3,0,0,13.425,9,354,61,1,0,0,1,0,2,0,0,0,3
894,9,2,0,0,13.425,9,354,61,1,0,0,1,0,1,0,0,0,2
7400,16,5,0,0,13.425,9,354,61,2,0,0,0,0,2,0,0,0,3
7198,16,5,0,0,13.375,9,271,88,2,0,0,1,0,0,0,0,0,3
7476,16,5,1,0,13.350000000000001,10,483,13,0,0,0,1,0,2,0,0,0,3
1141,9,2,0,0,13.275,6,483,16,0,0,0,0,0,2,0,0,0,2
996,9,2,0,0,13.275,6,483,16,0,0,0,1,0,1,0,0,0,2
7926,18,6,0,0,13.200000000000001,0,462,22,0,0,0,0,1,1,0,0,1,3
4165,18,6,0,0,13.2,9,510,6,0,0,0,1,0,4,0,0,0,2
7178,16,5,0,0,13.15,0,463,21,0,0,0,0,0,0,0,0,0,3
4410,7,1,0,0,13.15,3,517,3,0,0,0,0,1,0,0,0,1,3
