,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
7585,16,5,2,1,31.475,8,1142,23,0,0,0,0,0,4,0,1,1,3
26141,12,3,1,0,31.400000000000002,9,1079,55,0,0,0,1,0,4,0,0,0,1
13487,9,2,1,5,31.300000000000004,7,1108,4,0,0,0,0,0,4,0,1,0,5
7764,18,6,1,0,31.1,7,1169,21,0,0,0,1,0,1,0,0,0,3
7133,16,5,1,0,31.000000000000004,9,991,79,0,0,0,1,1,1,0,0,0,3
2108,12,3,0,1,30.950000000000003,7,1202,4,0,0,0,0,1,4,0,1,1,2
9536,9,2,11,2,30.925,9,1006,17,0,0,0,1,0,4,0,1,0,4
26152,12,3,12,8,30.825,3,885,4,0,0,0,1,0,4,0,1,0,1
6643,14,4,0,0,30.8,7,1169,21,0,0,0,0,1,2,0,0,1,3
18456,14,4,0,0,30.775000000000002,7,1213,6,0,0,0,0,2,1,0,0,1,6
18212,12,3,40,5,30.775000000000002,3,619,4,0,0,0,1,0,4,0,1,0,6
10227,12,3,3,0,30.775000000000002,8,1141,18,0,0,0,1,1,4,0,0,0,4
12866,7,1,3,0,30.775,7,1147,16,0,0,0,0,1,4,0,0,0,5
7533,16,5,4,1,30.650000000000002,6,1154,0,0,0,0,1,0,4,0,1,0,3
2785,14,4,1,0,30.55,8,1060,50,0,0,0,0,6,4,0,0,1,2
17477,9,2,10,0,30.5,6,1097,1,0,0,0,1,0,4,0,0,0,6
24099,18,6,5,0,30.475,7,1150,3,0,1,0,0,0,3,0,0,0,7
5808,12,3,3,1,30.400000000000002,6,1138,6,0,0,0,1,0,1,0,1,0,3
2836,14,4,1,0,30.4,9,1030,58,0,0,0,1,1,4,0,0,0,2
2408,14,4,1,0,30.4,9,1030,58,0,0,0,1,0,1,0,0,1,2
3460,16,5,0,0,30.35,10,626,196,0,0,0,1,0,3,0,0,0,2
1822,12,3,0,0,30.35,7,1202,4,0,0,0,0,1,2,0,0,1,2
2128,12,3,0,0,30.35,7,1202,4,0,0,0,0,2,4,0,0,1,2
7322,16,5,0,0,30.300000000000004,8,1143,23,0,0,0,0,1,2,0,0,1,3
13274,9,2,0,0,30.25,9,853,119,0,0,0,1,0,2,0,0,0,5
1188,9,2,0,0,30.25,9,853,119,0,0,0,1,0,3,0,0,0,2
6187,12,3,0,0,30.25,9,853,119,1,0,0,0,0,4,0,0,0,3
10165,12,3,1,0,30.175000000000004,8,1141,18,0,1,0,0,3,4,0,0,1,4
11394,16,5,0,0,30.175,4,1195,4,0,0,0,1,0,3,0,0,0,4
7188,16,5,1,0,30.175,7,1147,16,0,0,0,0,1,1,0,0,1,3
10524,14,4,1,0,30.150000000000002,7,1176,6,0,0,0,0,0,1,0,0,0,4
14688,14,4,6,1,30.1,9,928,60,0,0,0,1,0,3,0,1,0,5
17345,9,2,0,0,29.900000000000002,8,1142,18,0,0,0,0,1,3,0,0,1,6
18709,14,4,0,0,29.900000000000002,8,1142,18,0,0,0,1,2,3,0,0,1,6
9203,9,2,0,0,29.85,5,1179,5,0,0,0,0,0,1,0,0,0,4
9070,9,2,0,0,29.85,5,1179,5,0,0,0,0,0,0,0,0,0,4
25188,9,2,0,0,29.825,10,1127,22,0,0,0,1,1,2,0,0,1,1
14558,14,4,5,1,29.800000000000004,9,928,60,0,0,0,1,0,2,0,1,1,5
8828,7,1,3,0,29.725,7,1144,3,0,0,0,1,0,4,0,0,0,4
21535,9,2,6,3,29.700000000000003,9,1044,0,0,0,0,1,1,4,0,1,1,7
19380,16,5,1,0,29.700000000000003,8,1161,5,0,0,0,0,0,3,0,0,0,6
4233,18,6,5,0,29.675,9,965,54,0,0,0,0,0,4,0,0,0,2
13767,12,3,1,0,29.525000000000002,5,1157,4,0,0,0,0,0,1,0,0,0,5
11187,16,5,1,0,29.5,7,847,107,7,0,0,1,0,1,0,0,0,4
1250,9,2,0,0,29.475,3,1110,23,0,0,0,0,1,3,0,0,1,2
626,7,1,3,0,29.474999999999998,9,1125,6,0,0,0,0,1,4,0,0,1,2
16862,7,1,2,0,29.450000000000003,11,977,59,1,1,0,0,1,4,0,0,0,6
19367,16,5,0,0,29.45,1,1175,1,0,0,0,1,0,3,0,0,0,6
16722,7,1,2,1,29.4,8,1107,7,0,0,0,0,1,3,0,1,1,6
16849,7,1,2,0,29.350000000000005,6,1141,3,0,0,0,0,1,4,0,0,1,6
19564,16,5,2,0,29.325000000000003,3,1128,7,0,0,0,0,1,4,0,0,1,6
10039,12,3,2,1,29.3,10,989,45,0,0,0,1,0,3,0,1,0,4
11488,16,5,0,0,29.3,9,1130,14,0,0,0,1,0,4,0,0,0,4
2961,16,5,0,0,29.250000000000004,5,1158,4,0,0,0,0,1,0,0,0,1,2
14423,14,4,5,0,29.225,9,929,60,0,0,0,1,0,1,0,0,1,5
14690,14,4,5,0,29.200000000000003,9,928,60,0,0,0,1,0,3,0,0,1,5
3479,16,5,9,0,29.175,6,1041,6,0,0,0,1,0,3,0,0,0,2
7536,16,5,11,6,29.175,8,813,26,1,0,0,1,4,4,0,1,0,3
26127,12,3,8,2,29.175,0,1011,4,0,0,0,0,3,4,0,1,1,1
28028,18,6,1,0,29.150000000000002,2,1154,0,0,0,0,1,3,3,0,0,1,1
10941,14,4,0,2,29.125,6,1114,1,0,0,0,1,2,4,0,1,1,4
7086,16,5,0,0,29.075,9,1145,6,0,0,0,0,0,0,0,0,0,3
7084,16,5,0,0,29.075,9,1145,6,0,0,0,0,0,0,0,0,0,3
24483,7,1,2,0,29.05,3,1030,36,0,0,0,1,0,1,0,0,0,1
19515,16,5,1,0,29.025000000000002,3,1128,7,0,0,0,0,1,4,0,0,1,6
19575,16,5,1,0,29.025000000000002,3,1128,7,0,0,0,1,1,4,0,0,1,6
5050,9,2,0,0,29.025,9,975,62,0,0,0,0,0,0,0,0,0,3
19943,18,6,0,0,28.975,8,1054,35,0,0,0,0,0,2,0,0,0,6
19894,18,6,0,0,28.925,10,389,256,0,0,0,1,1,2,0,0,0,6
27851,18,6,7,8,28.9,9,820,20,0,0,0,1,0,2,0,1,0,1
22996,16,5,0,0,28.875,2,1155,0,0,0,0,1,2,0,0,0,1,7
23285,16,5,0,0,28.875,2,1155,0,0,0,0,0,1,2,0,0,1,7
23222,16,5,0,0,28.875,2,1155,0,0,0,0,0,1,2,0,0,1,7
9983,12,3,0,0,28.825,7,1132,7,0,0,0,0,1,2,0,0,1,4
8749,7,1,0,0,28.8,2,1152,0,0,0,0,0,1,3,0,0,1,4
6496,14,4,0,0,28.775,7,1130,7,0,0,0,0,2,1,0,0,1,3
6329,14,4,0,0,28.775,7,1130,7,0,0,0,0,2,0,0,0,1,3
1373,9,2,25,4,28.775,9,749,2,0,0,0,0,0,4,0,1,0,2
18703,14,4,3,0,28.725,10,888,75,1,1,0,0,0,3,0,0,0,6
19402,16,5,0,0,28.725,3,1128,7,0,0,0,0,2,3,0,0,1,6
19411,16,5,0,0,28.725,3,1128,7,0,0,0,0,1,3,0,0,1,6
12732,7,1,6,3,28.700000000000003,0,995,3,0,0,0,1,8,3,0,1,1,5
10262,12,3,7,5,28.7,9,917,9,0,0,0,1,5,4,0,1,1,4
24125,18,6,0,0,28.675,7,1102,15,0,1,0,0,0,4,0,0,0,7
13405,9,2,1,0,28.65,9,423,237,0,0,0,0,1,3,0,0,1,5
4444,7,1,0,0,28.65,4,252,298,2,0,0,1,0,1,0,0,0,3
17994,12,3,0,0,28.625000000000004,9,1103,14,0,0,0,0,1,2,0,0,1,6
20220,18,6,0,0,28.45,5,1132,2,0,0,0,1,0,4,0,0,0,6
13042,9,2,0,0,28.325,3,1130,1,0,0,0,0,0,0,0,0,0,5
17889,12,3,4,0,28.275000000000002,6,1074,3,0,0,0,0,0,2,0,0,0,6
27425,16,5,3,3,28.275000000000002,0,1011,4,0,1,0,0,3,3,0,1,1,1
11824,18,6,1,0,28.275000000000002,9,564,185,2,0,0,1,0,1,0,0,0,4
24201,18,6,1,0,28.25,6,1112,2,0,0,0,0,1,4,0,0,1,7
24862,7,1,0,3,28.225000000000005,7,1048,3,0,0,0,0,0,4,0,1,0,1
8854,7,1,1,0,28.200000000000003,11,912,68,0,0,0,0,3,4,0,0,1,4
3536,16,5,1,0,28.2,5,1110,2,0,0,0,0,1,4,0,0,1,2
24231,18,6,0,0,28.075,7,1120,1,0,0,0,0,0,4,0,0,0,7
24912,7,1,1,0,28.05,6,957,51,0,0,0,1,2,4,0,0,0,1
4798,7,1,15,5,28.025000000000002,10,782,13,0,0,0,1,0,3,0,1,0,3
15621,18,6,0,0,28.025000000000002,4,1103,6,0,0,0,0,0,0,0,0,0,5
11244,16,5,0,0,27.975,9,564,185,0,0,0,1,0,2,0,0,0,4
6450,14,4,0,0,27.975,9,564,185,0,0,0,1,0,1,0,0,0,3
9678,12,3,0,0,27.975,9,564,185,2,0,0,1,0,0,0,0,0,4
15536,16,5,2,1,27.950000000000003,7,986,28,1,0,0,1,1,4,0,1,0,5
6884,14,4,3,1,27.925,9,1006,17,1,0,0,1,0,4,0,1,0,3
5884,12,3,1,0,27.925,9,1075,10,0,0,0,1,1,1,0,0,1,3
26532,14,4,2,0,27.775000000000002,7,1054,11,0,0,0,1,0,2,0,0,0,1
26843,14,4,1,0,27.75,7,807,97,0,0,0,0,1,4,0,0,1,1
22143,12,3,0,0,27.575000000000003,8,989,38,2,0,0,1,1,4,0,0,1,7
3526,16,5,5,1,27.500000000000004,9,989,9,0,0,0,1,0,4,0,1,0,2
