,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
7545,16,5,1,0,24.6,10,936,12,0,1,0,1,0,4,0,0,0,3
27419,16,5,2,0,24.575000000000003,4,839,40,0,0,0,0,1,3,0,0,1,1
673,7,1,6,1,24.575,8,809,26,0,0,0,1,2,4,0,1,0,2
7493,16,5,1,0,24.525000000000002,7,963,2,0,0,0,0,0,3,0,0,0,3
5417,9,2,1,0,24.525000000000002,7,963,2,0,0,0,0,0,3,0,0,0,3
26311,14,4,0,0,24.5,5,977,1,0,0,0,0,0,0,0,0,0,1
3142,16,5,0,0,24.5,9,458,174,2,0,0,1,0,1,0,0,0,2
27231,16,5,2,0,24.475,1,952,1,0,0,0,1,0,2,0,0,0,1
27134,16,5,2,0,24.475,1,952,1,0,0,0,1,0,1,0,0,0,1
27739,18,6,2,0,24.475,1,952,1,0,0,0,1,0,1,0,0,0,1
12465,7,1,0,0,24.45,3,900,26,2,0,0,1,0,1,0,0,0,5
4948,7,1,3,1,24.45,1,900,6,3,0,0,1,0,4,0,1,0,3
12443,7,1,0,0,24.45,3,900,26,0,0,0,1,3,1,0,0,0,5
4390,7,1,0,0,24.425,3,902,25,0,0,0,0,0,0,0,0,0,3
5002,9,2,0,0,24.425,3,902,25,0,0,0,0,0,0,0,0,0,3
4355,7,1,0,0,24.425,3,902,25,1,0,0,1,1,0,0,0,0,3
25395,9,2,2,0,24.375000000000004,9,918,11,0,0,0,0,0,3,0,0,0,1
8049,18,6,1,0,24.35,2,932,10,0,0,0,0,1,3,0,0,1,3
19585,16,5,2,0,24.325000000000003,1,946,1,0,0,0,1,0,4,0,0,0,6
19530,16,5,2,0,24.325000000000003,1,946,1,0,0,0,1,0,4,0,0,0,6
6908,14,4,1,0,24.300000000000004,7,858,34,2,0,0,1,0,4,0,0,0,3
18422,14,4,1,0,24.300000000000004,7,936,8,0,0,0,0,0,1,0,0,0,6
13386,9,2,1,0,24.300000000000004,7,858,34,3,0,0,1,0,3,0,0,0,5
15119,16,5,1,0,24.300000000000004,7,936,8,0,0,0,0,0,1,0,0,0,5
26638,14,4,1,0,24.3,9,852,36,1,0,0,1,0,2,0,0,0,1
12218,18,6,1,1,24.275,9,929,2,0,0,0,1,0,4,0,1,0,4
5441,9,2,0,0,24.225,7,963,2,0,0,0,0,0,3,0,0,0,3
6823,14,4,0,0,24.225,9,936,11,0,0,0,0,1,3,0,0,1,3
